RESULTADOS PARA BASE DE DADOS: Digits
==================================================

ESTATÍSTICAS RESUMO:
------------------------------
      Metrica    Media  Desvio_Padrao   Minimo    Maximo
          ARI 0.445610       0.072797 0.320954  0.653199
          NMI 0.602899       0.055339 0.496279  0.725691
   Silhouette 0.133112       0.028362 0.078038  0.188944
Lambda1_Media 0.820436       0.001247 0.817043  0.823060
Lambda2_Media 0.179564       0.001247 0.176940  0.182957
  N_Iteracoes 9.640000       9.020973 4.000000 30.000000

RESULTADOS DETALHADOS:
------------------------------
 Teste      ARI      NMI  Silhouette  Lambda1_Media  Lambda2_Media  N_Iteracoes
     1 0.549400 0.677853    0.178988       0.820544       0.179456            5
     2 0.469512 0.616530    0.150947       0.820120       0.179880            6
     3 0.399812 0.584320    0.119326       0.821323       0.178677            6
     4 0.498804 0.637286    0.149013       0.819559       0.180441            6
     5 0.371916 0.528301    0.093033       0.821184       0.178816            4
     6 0.537969 0.677369    0.155827       0.819637       0.180363           30
     7 0.492029 0.629394    0.157082       0.818976       0.181024            7
     8 0.555017 0.696404    0.171736       0.820002       0.179998            5
     9 0.444974 0.603033    0.136273       0.821872       0.178128            5
    10 0.551058 0.699652    0.172171       0.818870       0.181130            8
    11 0.334561 0.517482    0.093099       0.820156       0.179844            6
    12 0.381007 0.542299    0.103259       0.821829       0.178171            5
    13 0.320954 0.496279    0.090846       0.821015       0.178985            6
    14 0.556235 0.700005    0.184923       0.820282       0.179718            6
    15 0.554291 0.697291    0.170629       0.818222       0.181778            5
    16 0.541651 0.685528    0.183878       0.820744       0.179256            8
    17 0.434198 0.581169    0.133471       0.822760       0.177240            6
    18 0.440392 0.602415    0.126971       0.820137       0.179863           30
    19 0.488550 0.626359    0.145307       0.821573       0.178427            5
    20 0.329290 0.507229    0.078038       0.822100       0.177900            5
    21 0.363609 0.567314    0.116974       0.818514       0.181486            6
    22 0.361005 0.543780    0.113812       0.820149       0.179851            5
    23 0.458558 0.610846    0.139334       0.818888       0.181112            6
    24 0.653199 0.725691    0.188944       0.819202       0.180798            6
    25 0.375850 0.539419    0.099019       0.822418       0.177582            5
    26 0.456934 0.600790    0.138789       0.820478       0.179522           30
    27 0.464370 0.606142    0.132167       0.820075       0.179925           30
    28 0.424954 0.580137    0.133484       0.818297       0.181703            6
    29 0.370740 0.575151    0.110821       0.819148       0.180852            8
    30 0.397104 0.556867    0.105159       0.820842       0.179158           30
    31 0.422286 0.595519    0.115884       0.823060       0.176940            6
    32 0.473756 0.620737    0.140446       0.822069       0.177931           30
    33 0.425609 0.590884    0.116222       0.820642       0.179358            5
    34 0.499902 0.641654    0.151741       0.818828       0.181172           30
    35 0.527958 0.667418    0.159544       0.820349       0.179651            5
    36 0.497060 0.637970    0.166808       0.819718       0.180282            4
    37 0.373664 0.548113    0.106568       0.820876       0.179124            5
    38 0.389943 0.570703    0.126673       0.821463       0.178537            5
    39 0.399883 0.552435    0.102263       0.820871       0.179129            6
    40 0.421590 0.588727    0.121759       0.821374       0.178626            5
    41 0.453365 0.591390    0.140002       0.820271       0.179729            7
    42 0.366645 0.553199    0.096185       0.820360       0.179640            6
    43 0.418722 0.575923    0.130358       0.820300       0.179700            5
    44 0.412565 0.598142    0.116131       0.819845       0.180155            6
    45 0.374218 0.544060    0.099245       0.822284       0.177716            5
    46 0.369318 0.555808    0.094474       0.817043       0.182957            7
    47 0.435834 0.597250    0.145900       0.820902       0.179098           30
    48 0.527543 0.664980    0.162217       0.821048       0.178952            7
    49 0.482307 0.627583    0.152499       0.820471       0.179529            7
    50 0.430383 0.610114    0.137334       0.821100       0.178900            5
