RESULTADOS PARA BASE DE DADOS: Iris
==================================================

ESTATÍSTICAS RESUMO:
------------------------------
      Metrica    Media  Desvio_Padrao   Minimo   Maximo
          ARI 0.751581       0.015648 0.714930 0.758338
          NMI 0.778448       0.017204 0.730373 0.785665
   Silhouette 0.524529       0.010320 0.520198 0.553342
Lambda1_Media 0.622457       0.000961 0.619276 0.622784
Lambda2_Media 0.377543       0.000961 0.377216 0.380724
  N_Iteracoes 4.420000       0.672795 3.000000 6.000000

RESULTADOS DETALHADOS:
------------------------------
 Teste      ARI      NMI  Silhouette  Lambda1_Media  Lambda2_Media  N_Iteracoes
     1 0.758338 0.785665    0.520198       0.622784       0.377216            4
     2 0.758338 0.785665    0.520198       0.622784       0.377216            4
     3 0.714930 0.730373    0.541190       0.619276       0.380724            5
     4 0.758338 0.785665    0.520198       0.622784       0.377216            5
     5 0.758338 0.785665    0.520198       0.622784       0.377216            6
     6 0.758338 0.785665    0.520198       0.622784       0.377216            5
     7 0.758338 0.785665    0.520198       0.622784       0.377216            5
     8 0.758338 0.785665    0.520198       0.622784       0.377216            5
     9 0.714930 0.730373    0.541190       0.619276       0.380724            5
    10 0.758338 0.785665    0.520198       0.622784       0.377216            5
    11 0.758338 0.785665    0.520198       0.622784       0.377216            5
    12 0.758338 0.785665    0.520198       0.622784       0.377216            5
    13 0.758338 0.785665    0.520198       0.622784       0.377216            4
    14 0.714930 0.730373    0.541190       0.619276       0.380724            4
    15 0.717276 0.750739    0.553342       0.622207       0.377793            5
    16 0.758338 0.785665    0.520198       0.622784       0.377216            5
    17 0.714930 0.730373    0.541190       0.619276       0.380724            4
    18 0.758338 0.785665    0.520198       0.622784       0.377216            4
    19 0.758338 0.785665    0.520198       0.622784       0.377216            4
    20 0.758338 0.785665    0.520198       0.622784       0.377216            4
    21 0.758338 0.785665    0.520198       0.622784       0.377216            4
    22 0.758338 0.785665    0.520198       0.622784       0.377216            3
    23 0.758338 0.785665    0.520198       0.622784       0.377216            4
    24 0.758338 0.785665    0.520198       0.622784       0.377216            4
    25 0.758338 0.785665    0.520198       0.622784       0.377216            5
    26 0.758338 0.785665    0.520198       0.622784       0.377216            5
    27 0.758338 0.785665    0.520198       0.622784       0.377216            5
    28 0.758338 0.785665    0.520198       0.622784       0.377216            4
    29 0.758338 0.785665    0.520198       0.622784       0.377216            5
    30 0.758338 0.785665    0.520198       0.622784       0.377216            4
    31 0.758338 0.785665    0.520198       0.622784       0.377216            3
    32 0.717276 0.750739    0.553342       0.622207       0.377793            4
    33 0.758338 0.785665    0.520198       0.622784       0.377216            4
    34 0.758338 0.785665    0.520198       0.622784       0.377216            4
    35 0.758338 0.785665    0.520198       0.622784       0.377216            3
    36 0.717276 0.750739    0.553342       0.622207       0.377793            4
    37 0.758338 0.785665    0.520198       0.622784       0.377216            5
    38 0.758338 0.785665    0.520198       0.622784       0.377216            4
    39 0.758338 0.785665    0.520198       0.622784       0.377216            3
    40 0.758338 0.785665    0.520198       0.622784       0.377216            5
    41 0.758338 0.785665    0.520198       0.622784       0.377216            5
    42 0.758338 0.785665    0.520198       0.622784       0.377216            4
    43 0.758338 0.785665    0.520198       0.622784       0.377216            5
    44 0.758338 0.785665    0.520198       0.622784       0.377216            4
    45 0.758338 0.785665    0.520198       0.622784       0.377216            5
    46 0.717276 0.750739    0.553342       0.622207       0.377793            4
    47 0.758338 0.785665    0.520198       0.622784       0.377216            5
    48 0.758338 0.785665    0.520198       0.622784       0.377216            4
    49 0.758338 0.785665    0.520198       0.622784       0.377216            5
    50 0.758338 0.785665    0.520198       0.622784       0.377216            5
