RESULTADOS PARA BASE DE DADOS: Wine
==================================================

ESTATÍSTICAS RESUMO:
------------------------------
      Metrica    Media  Desvio_Padrao   Minimo   Maximo
          ARI 0.383976       0.009483 0.371114 0.394124
          NMI 0.432247       0.002584 0.428757 0.435194
   Silhouette 0.567307       0.003058 0.562372 0.571138
Lambda1_Media 0.546170       0.001101 0.544776 0.547458
Lambda2_Media 0.453830       0.001101 0.452542 0.455224
  N_Iteracoes 5.040000       1.068281 4.000000 8.000000

RESULTADOS DETALHADOS:
------------------------------
 Teste      ARI      NMI  Silhouette  Lambda1_Media  Lambda2_Media  N_Iteracoes
     1 0.371114 0.428757    0.571138       0.544776       0.455224            5
     2 0.371114 0.428757    0.571138       0.544776       0.455224            7
     3 0.371114 0.428757    0.571138       0.544776       0.455224            6
     4 0.371114 0.428757    0.571138       0.544776       0.455224            6
     5 0.371114 0.428757    0.571138       0.544776       0.455224            5
     6 0.390659 0.434012    0.565975       0.547062       0.452938            5
     7 0.394124 0.435194    0.566648       0.547458       0.452542            5
     8 0.394124 0.435194    0.566648       0.547458       0.452542            5
     9 0.390659 0.434012    0.565975       0.547062       0.452938            4
    10 0.387416 0.433158    0.562372       0.545904       0.454096            5
    11 0.390659 0.434012    0.565975       0.547062       0.452938            5
    12 0.390659 0.434012    0.565975       0.547062       0.452938            4
    13 0.387416 0.433158    0.562372       0.545904       0.454096            5
    14 0.390659 0.434012    0.565975       0.547062       0.452938            5
    15 0.387416 0.433158    0.562372       0.545904       0.454096            5
    16 0.394124 0.435194    0.566648       0.547458       0.452542            5
    17 0.394124 0.435194    0.566648       0.547458       0.452542            5
    18 0.387416 0.433158    0.562372       0.545904       0.454096            5
    19 0.371114 0.428757    0.571138       0.544776       0.455224            5
    20 0.371114 0.428757    0.571138       0.544776       0.455224            8
    21 0.390659 0.434012    0.565975       0.547062       0.452938            5
    22 0.371114 0.428757    0.571138       0.544776       0.455224            5
    23 0.390659 0.434012    0.565975       0.547062       0.452938            4
    24 0.371114 0.428757    0.571138       0.544776       0.455224            7
    25 0.390659 0.434012    0.565975       0.547062       0.452938            4
    26 0.371114 0.428757    0.571138       0.544776       0.455224            7
    27 0.371114 0.428757    0.571138       0.544776       0.455224            7
    28 0.390659 0.434012    0.565975       0.547062       0.452938            4
    29 0.390659 0.434012    0.565975       0.547062       0.452938            4
    30 0.390659 0.434012    0.565975       0.547062       0.452938            4
    31 0.371114 0.428757    0.571138       0.544776       0.455224            5
    32 0.371114 0.428757    0.571138       0.544776       0.455224            5
    33 0.394124 0.435194    0.566648       0.547458       0.452542            5
    34 0.390659 0.434012    0.565975       0.547062       0.452938            4
    35 0.371114 0.428757    0.571138       0.544776       0.455224            7
    36 0.371114 0.428757    0.571138       0.544776       0.455224            5
    37 0.390659 0.434012    0.565975       0.547062       0.452938            4
    38 0.390659 0.434012    0.565975       0.547062       0.452938            4
    39 0.387416 0.433158    0.562372       0.545904       0.454096            5
    40 0.390659 0.434012    0.565975       0.547062       0.452938            4
    41 0.371114 0.428757    0.571138       0.544776       0.455224            5
    42 0.387416 0.433158    0.562372       0.545904       0.454096            5
    43 0.394124 0.435194    0.566648       0.547458       0.452542            5
    44 0.390659 0.434012    0.565975       0.547062       0.452938            4
    45 0.387416 0.433158    0.562372       0.545904       0.454096            5
    46 0.390659 0.434012    0.565975       0.547062       0.452938            4
    47 0.390659 0.434012    0.565975       0.547062       0.452938            4
    48 0.390659 0.434012    0.565975       0.547062       0.452938            4
    49 0.390659 0.434012    0.565975       0.547062       0.452938            4
    50 0.371114 0.428757    0.571138       0.544776       0.455224            8
